,id,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
74,20,87090,0.01216195,0.31046804,0.66433305,0.84168548,0.15831452,0.01041172,0.07404052,0.00218334,0.01523883,0.05275665,67328,-0.35386501,White
75,21,88063,0.02347018,0.31414458,0.65874614,0.72917472,0.27082528,0.02573766,0.12770584,0.00381716,0.04817356,0.06788751,62088,-0.34460156,White
76,22,82459,-0.04165964,0.22374729,0.75800663,0.87320151,0.12679849,0.00530892,0.05462799,0.00507809,0.01232592,0.04391783,64985,-0.53425934,White
77,23,87165,0.0130336,0.39094635,0.58237839,0.61414196,0.38585804,0.09823564,0.16316953,0.0018501,0.06676895,0.06428711,66483,-0.19143204000000003,White
78,24,86525,0.00559551,0.18081299,0.80200496,0.9253799,0.0746201,0.00378128,0.01894889,0.00086389,0.00668451,0.03706221,70611,-0.6211919699999999,White
79,25,83216,-0.03286177,0.22200701,0.75742271,0.8784827,0.1215173,0.04184551,0.03110734,0.00119819,0.00714362,0.03582425,65933,-0.5354157,White
80,26,86730,0.00797802,0.32908326,0.64730622,0.77563139,0.22436861,0.10557976,0.06373545,0.00077518,0.01727105,0.03353436,64501,-0.31822296000000005,White
81,27,83644,-0.02788754,0.21846876,0.75860832,0.8010389,0.1989611,0.03427736,0.1049161,0.00107311,0.01432371,0.04239568,64299,-0.54013956,White
82,28,87723,0.01951869,0.19540359,0.78474061,0.86180927,0.13819073,0.01323529,0.0513369,0.00371361,0.01740939,0.04677659,67320,-0.58933702,White
83,29,83642,-0.02791079,0.19294015,0.78747821,0.82555849,0.17444151,0.0173663,0.05767581,0.00131876,0.02176745,0.07261114,62938,-0.59453806,White
84,30,83290,-0.03200174,0.17219904,0.80978294,0.78490798,0.21509202,0.04496434,0.09501393,0.00346364,0.01295716,0.05609522,63517,-0.6375839,White
85,31,83735,-0.02682994,0.25888849,0.72793619,0.66137306,0.33862694,0.27298418,0.02887421,0.00098295,0.00741822,0.0274305,65110,-0.46904769999999996,White
86,32,83964,-0.02416849,0.33983831,0.64253529,0.58687103,0.41312897,0.33422456,0.05064432,0.00066842,0.00851844,0.02142047,64331,-0.30269698,White
87,33,85392,-0.00757225,0.22368462,0.76092934,0.71897211,0.28102789,0.21276056,0.04115153,0.0011796,0.00416592,0.02094905,66972,-0.53724472,White
88,34,81926,-0.04785418,0.25733168,0.72319585,0.79318795,0.20681205,0.12181552,0.03905371,0.00158742,0.00858442,0.03288896,64885,-0.46586416999999997,White
89,35,82911,-0.03640648,0.32476857,0.65213406,0.79055361,0.20944639,0.09438837,0.05833736,0.00139006,0.01317539,0.0403874,66184,-0.32736549,White
90,1,241318,0.01231042,0.64425425,0.3423219,0.38857809,0.61142191,0.01890409,0.10572545,0.00317842,0.02153488,0.4716895,186256,0.30193235,Native
91,2,239139,0.00316968,0.54498735,0.4451847,0.2258872,0.7741128,0.02239857,0.6808687,0.00238403,0.01394092,0.07421724,176172,0.09980264999999999,Hispanic
92,3,236209,-0.00912144,0.32607997,0.66495763,0.80982846,0.19017154,0.01066106,0.1180098,0.00313856,0.01858027,0.03690443,199136,-0.33887765999999997,White
93,4,237644,-0.00310173,0.60823647,0.38149808,0.34935672,0.65064328,0.04233817,0.56290188,0.00280873,0.02082822,0.05145154,183357,0.22673839,Hispanic
94,5,238486,0.0004304,0.56448982,0.42179828,0.61345938,0.38654062,0.06826897,0.24378572,0.00543716,0.04744966,0.03747797,187230,0.14269154,White
95,6,238122,-0.00109655,0.56057243,0.42868102,0.73950794,0.26049206,0.03632931,0.14927247,0.00341724,0.05169691,0.02407508,200747,0.13189141,White
96,7,240009,0.00681927,0.60765864,0.37925882,0.50546357,0.49453643,0.04257104,0.37277842,0.00334557,0.05023496,0.0472291,194287,0.22839982000000003,White
97,8,238261,-0.00051346,0.29368781,0.69648244,0.63323354,0.36676646,0.03020682,0.18811283,0.00479552,0.02315911,0.12755088,182045,-0.40279463000000004,White
98,9,237395,-0.00414626,0.43413728,0.55625524,0.56139301,0.43860699,0.06092988,0.26743516,0.0046313,0.02953868,0.09548391,177056,-0.12211796000000003,White
99,10,239767,0.0058041,0.22399811,0.76957441,0.76335045,0.23664955,0.01514199,0.15304424,0.00443548,0.01937129,0.04814157,198851,-0.5455763,White
100,11,239436,0.00441558,0.34434878,0.64701145,0.59044969,0.40955031,0.05281054,0.30277747,0.00486609,0.02533341,0.03503251,181460,-0.30266267,White
101,12,237277,-0.00464126,0.55479041,0.43518583,0.3154522,0.6845478,0.10329802,0.51638311,0.00687187,0.04920284,0.03444258,168222,0.11960457999999996,Hispanic
102,13,240897,0.01054436,0.35633237,0.6343404,0.65893136,0.34106864,0.04992469,0.22977598,0.00820724,0.02452058,0.03616612,187883,-0.27800803,White
103,14,241500,0.0130739,0.3822819,0.60670508,0.75264081,0.24735919,0.03172083,0.15701137,0.00438405,0.02714481,0.03157556,192744,-0.22442318,White
104,15,237870,-0.00215367,0.40388859,0.58799186,0.68411477,0.31588523,0.06488427,0.18753303,0.00505521,0.04170003,0.02486749,183573,-0.18410327000000004,White
105,16,236197,-0.00917178,0.61781808,0.37055222,0.1997616,0.8002384,0.09466812,0.65409819,0.00371805,0.0352782,0.04118879,161913,0.24726586000000006,Hispanic
106,17,236819,-0.00656254,0.36949427,0.62078676,0.72524116,0.27475884,0.04203032,0.1600712,0.00624139,0.04701424,0.02642972,174160,-0.25129249,White
107,18,240669,0.00958792,0.41422177,0.57523449,0.71228139,0.28771861,0.0468255,0.12976523,0.00488563,0.09015794,0.02028525,172342,-0.16101272000000005,White
108,19,240541,0.00905097,0.52112172,0.46412945,0.51653818,0.48346182,0.06681446,0.3254089,0.00725165,0.0497524,0.05448941,181338,0.05699227000000001,White
109,20,239493,0.00465469,0.5293163,0.45583462,0.55705779,0.44294221,0.07142427,0.21378525,0.00511112,0.13018303,0.03503284,182543,0.07348167999999994,White
110,21,237741,-0.00269482,0.60629675,0.37917029,0.59359972,0.40640028,0.07937088,0.18474096,0.00536957,0.1039454,0.04905647,194429,0.22712646000000003,White
111,22,236420,-0.00823631,0.71422292,0.26989406,0.23868865,0.76131135,0.15330151,0.54927982,0.00591288,0.03562181,0.0528865,173012,0.44432886,Hispanic
112,23,238754,0.00155464,0.66161661,0.32467945,0.19241337,0.80758663,0.11094944,0.63176787,0.00385404,0.04450484,0.04692789,166319,0.33693716000000007,Hispanic
