id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
NC-20,387018,0.37700112,0.61142602,0.60493143,0.39506857,0.23119182,0.1140695,0.00120005,0.00909728,0.04785249,294154,-0.2344249,0.3663054,0.62315984,-0.25685444,-0.25437793,White
NC-21,386238,0.39419138,0.59422007,0.54448731,0.45551269,0.21482705,0.09426535,0.00135774,0.01939138,0.13237095,292398,-0.20002869,0.37398055,0.61523135,-0.2412508,-0.2325101,White
NC-22,386793,0.38102624,0.60501837,0.70464185,0.29535815,0.16046601,0.07913031,0.00126362,0.03623503,0.02289419,295184,-0.22399213,0.38008612,0.60630941,-0.22622329,-0.23047957,White
NC-23,387256,0.25883728,0.73021037,0.84201361,0.15798639,0.06717405,0.04939211,0.00100616,0.017453,0.0249605,310090,-0.47137309,0.2535126,0.73721347,-0.48370087,-0.48459161,White
NC-24,386250,0.35789521,0.62644895,0.87190893,0.12809107,0.02380462,0.04618583,0.00131415,0.01079417,0.04461571,320358,-0.26855374,0.35785677,0.62734226,-0.26948549,-0.27417491,White
NC-25,385791,0.67904037,0.30330452,0.47393726,0.52606274,0.30018677,0.15181575,0.00144338,0.06315466,0.02040114,299297,0.37573585,0.65910603,0.31557173,0.3435343,0.34926815,Minority
NC-26,386874,0.3232754,0.66214772,0.75470768,0.24529232,0.11095273,0.08143439,0.00121231,0.03073731,0.02251094,300254,-0.33887232,0.32484699,0.66339566,-0.33854867,-0.34365655,White
NC-27,386668,0.58348215,0.40152972,0.66054298,0.33945702,0.15441929,0.11306432,0.00207577,0.05165694,0.02404351,299166,0.18195243,0.57590334,0.40855281,0.16735053,0.16721783,White
ND-1,390124,0.41039536,0.55628677,0.83827718,0.16172282,0.04308705,0.03039084,0.00155477,0.02852512,0.05729503,302295,-0.14589141,0.39157567,0.58122644,-0.18965077,-0.18006432,White
ND-2,388970,0.22718704,0.74403484,0.85006025,0.14993975,0.02865574,0.04226033,0.0030327,0.0155515,0.06028292,293798,-0.5168478,0.21889951,0.75764562,-0.53874611,-0.53644667,White
NE-1,392688,0.50343595,0.47183361,0.80757333,0.19242667,0.04871507,0.07231169,0.00174065,0.04748501,0.02181618,301611,0.03160234,0.4931908,0.4914898,0.001701,0.00666811,White
NE-2,392672,0.62261136,0.35634733,0.6231111,0.3768889,0.15405609,0.14888937,0.00227993,0.05262611,0.02862986,298255,0.26626403,0.62177389,0.36256213,0.25921176,0.25656252,White
NE-3,392313,0.19477738,0.78553525,0.86170945,0.13829055,0.01337994,0.08894785,0.00165077,0.01003161,0.02446417,299254,-0.59075787,0.19181518,0.79718709,-0.60537191,-0.60550056,White
NE-4,392245,0.41548682,0.56365563,0.84908776,0.15091224,0.03152179,0.05921891,0.00176768,0.03954866,0.0162231,283423,-0.14816881,0.42038675,0.56769949,-0.14731274,-0.1525981,White
NE-5,391586,0.2639427,0.71576769,0.82196237,0.17803763,0.01727955,0.1215257,0.00145444,0.01061025,0.02938171,293584,-0.45182499,0.25547056,0.73263417,-0.47716361,-0.4737174,White
NH-1,343962,0.53590613,0.44913747,0.90300646,0.09699354,0.01435159,0.02774452,0.00106559,0.03205676,0.01354617,280596,0.08676866,0.51433883,0.47130399,0.04303484,0.05261278,White
NH-2,344662,0.51301825,0.47041263,0.91929203,0.08070797,0.01134579,0.01834638,0.00090962,0.01951489,0.02105775,285833,0.04260562,0.49384629,0.49199994,0.00184635,0.01043277,White
NH-3,344197,0.53756272,0.44562967,0.86577052,0.13422948,0.02054966,0.04990113,0.00120816,0.03737687,0.01578957,275625,0.09193305,0.51177819,0.47308261,0.03869558,0.05144140,White
NH-4,344708,0.52782169,0.45447335,0.86488339,0.13511661,0.03171994,0.04671854,0.00115926,0.03211115,0.01841896,278626,0.07334834,0.50610728,0.47849423,0.02761305,0.03785815,White
NJ-1,386325,0.68137714,0.30735975,0.48317547,0.51682453,0.25027957,0.18903088,0.00205128,0.08072068,0.01770028,296888,0.37401739,0.6379085,0.34472456,0.29318394,0.31512842,Minority
NJ-2,386750,0.45300258,0.53367847,0.6853563,0.3146437,0.12663596,0.15880168,0.00135557,0.0166154,0.02325446,309833,-0.08067589,0.41462203,0.56911914,-0.15449711,-0.13489004,White
NJ-3,387468,0.60099852,0.38548337,0.66667431,0.33332569,0.18829942,0.07166358,0.0015747,0.06061777,0.01588777,305455,0.21551515,0.58422069,0.39979658,0.18442411,0.18978779,White
NJ-4,387138,0.33695906,0.6513834,0.82026075,0.17973925,0.03724223,0.10356459,0.00068619,0.02405648,0.0119831,276890,-0.31442434,0.29493243,0.69076704,-0.39583461,-0.37369785,White
NJ-5,385949,0.55067063,0.43735457,0.71011048,0.28988952,0.02517938,0.09960302,0.00141419,0.16004633,0.00654906,296989,0.11331606,0.49867343,0.48244824,0.01622519,0.04358881,White
NJ-6,386757,0.51483058,0.47111576,0.70774003,0.29225997,0.09842373,0.12095438,0.00111503,0.05333649,0.01274176,308513,0.04371482,0.46515996,0.51347999,-0.04832003,-0.02264175,White
NJ-7,386062,0.47853433,0.5040974,0.75327434,0.24672566,0.05159895,0.10667231,0.00098572,0.07468037,0.01164644,307390,-0.02556307,0.44975885,0.52643564,-0.07667679,-0.06463888,White
