id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Swing,Majority,Lean
CA-50,572615,0.65048037,0.31713969,0.59444652,0.40555348,0.05394259,0.17103195,0.00895429,0.16000223,0.02114047,484237,0.33334068,0.6680635,0.30728078,0.36078272,-0.02744204,White,0.337488026666667
CA-51,572669,0.67240321,0.29506918,0.35156736,0.64843264,0.11696351,0.37421028,0.01022491,0.14919847,0.03133399,455065,0.37733403,0.71761514,0.25927467,0.45834047,-0.08100644,Hispanic,0.399336176666667
CA-52,573000,0.56562904,0.40933645,0.18588328,0.81411672,0.0723247,0.57964275,0.01108545,0.16461144,0.03245998,438232,0.15629259,0.64286575,0.33602904,0.30683671,-0.15054412,Hispanic,0.201473963333333
CA-53,572501,0.74774105,0.22308914,0.64378386,0.35621614,0.02798863,0.21876352,0.00600452,0.08296621,0.03206521,462152,0.52465191,0.77114796,0.20819314,0.56295482,-0.03830291,White,0.532419546666667
CA-54,573023,0.51761858,0.44915498,0.47106809,0.52893191,0.09606199,0.24513235,0.01427148,0.15653583,0.04415893,430649,0.06846360,0.56500144,0.40921496,0.15578648,-0.08732288,Minority,0.0925712266666667
CA-55,573348,0.37225276,0.60356026,0.52753287,0.47246713,0.0304816,0.32367832,0.00558274,0.0855063,0.04924811,438494,-0.23130750,0.40833237,0.57093375,-0.16260138,-0.06870612,White,-0.21340546
CA-56,571967,0.39392747,0.58332225,0.29357378,0.70642622,0.0271974,0.60899849,0.00352619,0.05561828,0.03958382,402134,-0.18939478,0.4639674,0.51501812,-0.05105072,-0.13834406,Hispanic,-0.148280093333333
CA-57,572292,0.71215137,0.2514832,0.21521378,0.78478622,0.10837503,0.29213174,0.02303083,0.3684179,0.03027327,451091,0.46066817,0.77685246,0.2030821,0.57377036,-0.11310219,Asian,0.4933689
CA-58,573315,0.71949049,0.23798083,0.33648101,0.66351899,0.02115722,0.12305998,0.00569898,0.50777998,0.01428173,452186,0.48150966,0.76250497,0.21555264,0.54695233,-0.06544267,Asian,0.498323883333333
CA-59,572491,0.67379307,0.29135538,0.23841268,0.76158732,0.0420784,0.38588763,0.00848444,0.3265186,0.03407658,453772,0.38243769,0.72705254,0.25241541,0.47463713,-0.09219944,Hispanic,0.408170836666667
