Type,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
WR,CO-07,577816,0.58286567,0.38856689,0.80790789,0.19209211,0.01577037,0.13149908,0.00061715,0.03244221,0.01065023,453699,0.19429878,White
WR,CO-08,577498,0.5407601,0.43147441,0.56515039,0.43484961,0.03963148,0.33938218,0.00158668,0.03939792,0.01248528,393904,0.10928569,White
WR,CO-09,576859,0.54590753,0.42555223,0.81750862,0.18249138,0.01399598,0.12596821,0.00093219,0.03045889,0.00983714,458060,0.1203553,White
WR,CO-10,577941,0.50061697,0.47364401,0.82225084,0.17774916,0.02586316,0.09254982,0.00105329,0.04802062,0.00798201,443372,0.02697296,White
WR,CT-01,600799,0.62257673,0.36203662,0.47882271,0.52117729,0.22947553,0.24990218,0.00208392,0.04511045,0.01596111,470268,0.26054011,Minority
WR,CT-02,601107,0.53735987,0.44520732,0.79044188,0.20955812,0.05929736,0.08388482,0.00209585,0.04523603,0.02204104,490494,0.09215255,White
WR,CT-03,601075,0.58607123,0.39257297,0.63453563,0.36546437,0.14989555,0.15319293,0.00137339,0.05778348,0.01543931,484931,0.19349826,White
WR,CT-04,601333,0.63335936,0.35197701,0.52554232,0.47445768,0.16919301,0.23636866,0.00149997,0.06048247,0.01372014,467342,0.28138235,White
WR,CT-05,600902,0.50067832,0.48357912,0.77819859,0.22180141,0.04619344,0.10505329,0.00094629,0.04378028,0.0115747,474483,0.0170992,White
WR,CT-06,600728,0.53599731,0.446451,0.78544308,0.21455692,0.05921002,0.07770251,0.00097569,0.06282216,0.01450876,481709,0.08954631,White
WR,IL-01,582159,0.66860662,0.30564503,0.37952368,0.62047632,0.50160542,0.09592945,0.00088102,0.0197306,0.0129217,459692,0.36296159,Black
WR,IL-02,581945,0.71780057,0.2661106,0.29967784,0.70032216,0.52503999,0.15889427,0.00106863,0.01185126,0.01828992,446366,0.45168997,Black
WR,IL-03,582147,0.69482439,0.27994608,0.38880903,0.61119097,0.05454557,0.49664505,0.00185445,0.06256487,0.03685664,460514,0.41487831,Hispanic
WR,IL-04,582289,0.65346945,0.32283913,0.14610997,0.85389003,0.06692377,0.70942269,0.00130769,0.07945004,0.05511099,435884,0.33063032,Hispanic
WR,IL-05,582757,0.82645969,0.15090462,0.63205616,0.36794384,0.10587891,0.13159323,0.00149872,0.12015814,0.01595748,495755,0.67555507,White
WR,IL-06,582094,0.69042991,0.28603743,0.43039045,0.56960955,0.32493902,0.21091178,0.00102651,0.03072384,0.01913323,448121,0.40439248,Minority
WR,IL-07,582302,0.83686841,0.14221255,0.30630741,0.69369259,0.50186101,0.085004,0.00138169,0.10393916,0.01214551,479848,0.69465586,Black
WR,IL-08,582455,0.51921968,0.44336543,0.59255439,0.40744561,0.04733004,0.1986707,0.00127157,0.15131641,0.01978751,453771,0.07585425,White
WR,IL-09,582744,0.64455681,0.33111495,0.6945279,0.3054721,0.04698189,0.09237393,0.00138839,0.1568837,0.01115311,456644,0.31344186,White
WR,IL-10,582644,0.57797602,0.39495872,0.56576658,0.43423342,0.086035,0.23979694,0.00192312,0.09563482,0.02425801,443029,0.1830173,White
WR,IL-11,582741,0.55313407,0.4080169,0.70906873,0.29093127,0.05640913,0.09957952,0.00117132,0.1221755,0.01251248,451629,0.14511717,White
WR,IL-12,581905,0.24171228,0.73996513,0.89975968,0.10024032,0.04265037,0.02143821,0.00096349,0.00925522,0.02054276,455635,-0.49825285,White
WR,IL-13,582234,0.4692921,0.50569562,0.72579454,0.27420546,0.18985739,0.03795784,0.00149958,0.02124258,0.0219528,454794,-0.03640352,White
WR,IL-14,582187,0.50913809,0.46406867,0.61507603,0.38492397,0.11372551,0.18299686,0.0008325,0.07632703,0.01817092,437237,0.04506942,White
WR,IL-15,582497,0.27457771,0.70461773,0.91101432,0.08898568,0.03108848,0.02613058,0.00113243,0.00894204,0.01796233,460074,-0.43004002,White
WR,IL-16,582303,0.34298416,0.63583621,0.8560656,0.1439344,0.04318342,0.06843814,0.00082138,0.00966396,0.01877886,451678,-0.29285205,White
