id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
CA-65,476124,0.55394557,0.41474973,0.21892106,0.78107894,0.03416203,0.53430651,0.00765184,0.20441609,0.03583579,366840,0.13919584,0.61506291,0.36242459,0.25263832,0.17154333,Hispanic
CA-66,475740,0.57371813,0.39507268,0.18209328,0.81790672,0.01956443,0.63693165,0.0054861,0.1556871,0.04733453,362188,0.17864545,0.63655748,0.34156622,0.29499126,0.21196072,Hispanic
CA-67,475431,0.55285196,0.40445586,0.40702475,0.59297525,0.03012477,0.15558551,0.0048095,0.39732301,0.01471409,374675,0.1483961,0.60004705,0.37860293,0.22144412,0.16727877,Minority
CA-68,476057,0.49140172,0.47902625,0.2032772,0.7967228,0.06733654,0.52357119,0.00528519,0.20191714,0.03430342,367631,0.01237547,0.57299601,0.40672703,0.16626898,0.05820664,Hispanic
CA-69,475389,0.49401047,0.47732949,0.27719368,0.72280632,0.08049484,0.51632339,0.00546969,0.11881309,0.03590815,361812,0.01668098,0.56512084,0.41379189,0.15132895,0.05609697,Hispanic
CA-70,476805,0.54542279,0.42612571,0.14633662,0.85366338,0.10183068,0.66642288,0.00515114,0.08273779,0.04027907,347302,0.11929708,0.64634909,0.33220177,0.31414732,0.17878049,Hispanic
CA-71,475725,0.49231079,0.47908288,0.2904813,0.7095187,0.10589144,0.50844883,0.0063849,0.08612744,0.03801473,349575,0.01322791,0.56078019,0.41454402,0.14623617,0.05209733,Hispanic
CA-72,476565,0.49409959,0.46940508,0.31588721,0.68411279,0.07297516,0.49146963,0.0069893,0.10917991,0.03714567,362411,0.02469451,0.56273525,0.41482156,0.14791369,0.0603009,Hispanic
CA-73,475953,0.53076803,0.44038826,0.21018948,0.78981052,0.13688503,0.57797361,0.00732577,0.06770205,0.04020412,342353,0.09037977,0.6168453,0.36215941,0.25468589,0.13968181,Hispanic
CA-74,475791,0.40681019,0.56827931,0.48089514,0.51910486,0.06729048,0.32072547,0.00896267,0.11357506,0.03451191,354805,-0.16146912,0.43005728,0.54995034,-0.11989306,-0.1530771,Minority
CA-75,476349,0.49434737,0.48427673,0.54590957,0.45409043,0.05950461,0.30237738,0.00605136,0.07082873,0.03607512,377601,0.01007064,0.508729,0.47423165,0.03449735,0.01274621,White
CA-76,476442,0.39742733,0.57813689,0.6348026,0.3651974,0.03572431,0.22157435,0.00858571,0.07470536,0.03919151,370616,-0.18070956,0.41250804,0.56464364,-0.1521356,-0.17665157,White
CA-77,476437,0.51798296,0.45473191,0.53379815,0.46620185,0.04414798,0.31662249,0.01275822,0.08368839,0.03431584,377639,0.06325105,0.53765705,0.43757442,0.10008263,0.07006158,White
CA-78,476619,0.58728112,0.38154421,0.54443027,0.45556973,0.02696099,0.25319769,0.00617907,0.1602205,0.02258041,367531,0.20573691,0.60950858,0.36799689,0.24151169,0.21219517,White
CA-79,475397,0.62085081,0.34701842,0.49753844,0.50246156,0.05688736,0.15273803,0.0096723,0.27895761,0.01989806,379434,0.27383239,0.6356987,0.34167086,0.29402784,0.27509754,Minority
CA-80,476582,0.68187802,0.28446791,0.61245084,0.38754916,0.0547161,0.18480111,0.0075672,0.12652568,0.02260946,412438,0.39741011,0.70384395,0.27132549,0.43251846,0.40364623,White
CA-81,475318,0.61543367,0.35443328,0.23697668,0.76302332,0.12956593,0.45120142,0.0119465,0.17803988,0.03300207,361947,0.26100039,0.67801733,0.29942268,0.37859465,0.29473181,Hispanic
CA-82,475450,0.56747763,0.40780605,0.17587387,0.82412613,0.06513725,0.60389273,0.0104136,0.15875246,0.03252189,363755,0.15967158,0.64730082,0.3318807,0.31542012,0.20612109,Hispanic
CA-83,476440,0.52772906,0.449874,0.21422984,0.78577016,0.03678535,0.70736206,0.00309827,0.03377029,0.03887397,360524,0.07785506,0.61202914,0.369515,0.24251414,0.12727475,Hispanic
CO-1,480273,0.79139895,0.18058788,0.70106535,0.29893465,0.09275693,0.13343897,0.00278722,0.05286349,0.02598692,405781,0.61081107,0.80683323,0.17081356,0.63601967,0.61374727,White
CO-2,482040,0.70317898,0.26853378,0.78244724,0.21755276,0.01755379,0.12463805,0.00234016,0.04705268,0.02507831,388862,0.4346452,0.69910466,0.27475152,0.42435314,0.42574785,White
CO-3,480919,0.45530856,0.51876737,0.67153718,0.32846282,0.01701498,0.25369996,0.00247667,0.01313391,0.05528952,382369,-0.06345881,0.46805652,0.50807296,-0.04001644,-0.06111135,White
CO-4,481491,0.31588918,0.65961397,0.77802022,0.22197978,0.03583228,0.11924143,0.00380035,0.03311621,0.03185479,372597,-0.34372479,0.30389619,0.66757924,-0.36368305,-0.35584421,White
CO-5,480950,0.4879701,0.48329925,0.65410433,0.34589567,0.09138398,0.17989542,0.0087708,0.04595802,0.03836149,372144,0.00467085,0.48199457,0.47804519,0.00394938,-0.00103631,White
