id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
CA-18,186258,0.47450767,0.50111894,0.65389379,0.34610621,0.03351447,0.12640419,0.00903552,0.15860128,0.02751466,139671,-0.02661127,White
CA-19,186011,0.56397818,0.40912234,0.52695987,0.47304013,0.08639741,0.15876169,0.01345342,0.19931991,0.03135361,141451,0.15485584,White
CA-20,186703,0.47221511,0.49940904,0.69241977,0.30758023,0.05593545,0.14488305,0.00867071,0.07090035,0.03549227,154428,-0.02719393,White
CA-21,186481,0.4764116,0.49811117,0.5623842,0.4376158,0.08677629,0.2053881,0.0135027,0.11546863,0.0419283,138713,-0.02169957,White
CA-22,186344,0.60587403,0.36651492,0.58600361,0.41399639,0.09924372,0.16709451,0.01072494,0.12028535,0.03500481,144523,0.23935911,White
CA-23,186639,0.7266943,0.24848852,0.29673512,0.70326488,0.17180232,0.2846504,0.0227144,0.22520876,0.03982367,139515,0.47820578,Minority
CA-24,186343,0.74347856,0.23114117,0.17334964,0.82665036,0.18463787,0.34511117,0.04000835,0.26561638,0.03904654,134122,0.51233739,Hispanic
CA-25,186795,0.62795757,0.35161273,0.30550719,0.69449281,0.12392972,0.17397936,0.02400311,0.37745176,0.0284929,138982,0.27634484,Asian
CA-26,186551,0.7311455,0.24475825,0.4168627,0.5831373,0.10402297,0.21206624,0.02038728,0.24119852,0.03330542,150486,0.48638725,Minority
CA-27,186748,0.70930529,0.26584984,0.4646936,0.5353064,0.03512176,0.3110468,0.00874855,0.16569871,0.03715615,148939,0.44345545,Minority
CA-28,186978,0.62098523,0.3556607,0.47902955,0.52097045,0.09593088,0.21678858,0.01382861,0.18805143,0.03494509,147231,0.26532453,Minority
CA-29,186865,0.62392782,0.35079772,0.35690678,0.64309322,0.18197508,0.26654894,0.02004398,0.1798494,0.03824215,150070,0.2731301,Minority
CA-30,186753,0.38551759,0.59287163,0.55088247,0.44911753,0.02311562,0.32172868,0.00643584,0.07682255,0.03743466,142328,-0.20735404,White
CA-31,186368,0.37069698,0.6061887,0.75654138,0.24345862,0.02253636,0.13832069,0.00637007,0.02707916,0.05055453,157612,-0.23549172,White
CA-32,186677,0.58053127,0.39419931,0.23112008,0.76887992,0.05905845,0.6147974,0.00511373,0.08404501,0.06298586,135713,0.18633196,Hispanic
CA-33,186796,0.62147625,0.35756005,0.24140053,0.75859947,0.13978944,0.30939036,0.01608897,0.3066356,0.03507924,136491,0.2639162,Hispanic
CA-34,186705,0.69089408,0.28542228,0.17914909,0.82085091,0.12266914,0.55115709,0.01045093,0.14381822,0.0457818,133481,0.4054718,Hispanic
CA-35,186760,0.60286786,0.37542214,0.30003532,0.69996468,0.07571342,0.32741696,0.0166674,0.27689228,0.03409275,135894,0.22744572,Hispanic
CA-36,186488,0.5769165,0.40312565,0.20970468,0.79029532,0.03438484,0.70065584,0.00735476,0.04229553,0.04003426,133111,0.17379085,Hispanic
CA-37,186576,0.47560512,0.50272963,0.44340048,0.55659952,0.0522628,0.36351326,0.01586772,0.11322681,0.04167969,144003,-0.02712451,Minority
CA-38,186574,0.58680668,0.38740187,0.31063804,0.68936196,0.04056957,0.54389629,0.0149404,0.07713365,0.05069145,134066,0.19940481,Hispanic
