HD,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,Majority,Lean,Seats,State
MD-20B,20B,44127,0.00753378,0.60684506,0.34634627,0.6276436,0.3723564,0.06954458,0.030882,0.00102139,0.25898222,0.01009373,33288,0.26049879,0.62057926,0.35090462,0.26967464,-0.00917585,White,0.25855741,1,MD
MD-20C,20C,43366,-0.00984182,0.58502442,0.36661241,0.65228536,0.34771464,0.08221124,0.03483632,0.0011118,0.21278567,0.01114886,32380,0.21841201,0.59429298,0.37488186,0.21941112,-0.00099911,White,0.21374505,1,MD
MD-21,21,132489,0.00835576,0.71550877,0.24471256,0.34482858,0.65517142,0.38977943,0.10915673,0.00199289,0.15056465,0.01986156,103869,0.47079621,0.74524431,0.22765678,0.51758753,-0.04679132,Black,0.48139332,3,MD
MD-22A,22A,41848,-0.04450169,0.46957148,0.49765934,0.65583516,0.34416484,0.17374565,0.08821265,0.00261804,0.05889057,0.02550282,32467,-0.02808786,0.47278247,0.49794196,-0.02515949,-0.00292837,White,-0.03211174,1,MD
MD-22B,22B,42540,-0.02870154,0.50090237,0.47033824,0.59086561,0.40913439,0.22405548,0.11588355,0.00176351,0.04656863,0.03039813,33456,0.03056413,0.51175459,0.4625,0.04925459,-0.01869046,White,0.03179428,1,MD
MD-22C,22C,44716,0.02098218,0.43470347,0.53689201,0.73894908,0.26105092,0.13886797,0.05190893,0.00199873,0.04643416,0.02288396,34522,-0.10218854,0.43204565,0.53880597,-0.10676032,0.00457178,White,-0.10871247,1,MD
MD-23,23,131170,-0.00168297,0.49596666,0.4681244,0.79119955,0.20880045,0.0998959,0.0444827,0.00193185,0.04266095,0.01724656,99904,0.02784226,0.49971214,0.46894311,0.03076903,-0.00292677,White,0.02381785,3,MD
MD-24,24,132636,0.00947455,0.61010308,0.35235795,0.60741801,0.39258199,0.22329586,0.07965763,0.00328055,0.07458769,0.02170131,100593,0.25774513,0.60874183,0.35959667,0.24914516,0.00859997,White,0.24987847,3,MD
MD-25,25,131866,0.00361419,0.55740997,0.40910421,0.73698043,0.26301957,0.11977337,0.09436747,0.00143789,0.03074799,0.01763558,105015,0.14830576,0.5702375,0.40373741,0.16650009,-0.01819433,White,0.14937054,3,MD
MD-26A,26A,45537,0.03972774,0.42780315,0.54486518,0.78027581,0.21972419,0.12655001,0.03641789,0.00257851,0.03079731,0.02306177,34516,-0.11706203,0.45393116,0.52265681,-0.06872565,-0.04833638,White,-0.1059499,1,MD
MD-26B,26B,44737,0.02146166,0.43225115,0.54345928,0.73223947,0.26776053,0.17995766,0.03746177,0.00188191,0.02349447,0.02572924,34008,-0.11120813,0.46243964,0.51243069,-0.04999105,-0.06121708,White,-0.09580244,1,MD
MD-26C,26C,44985,0.02712415,0.52783232,0.43564697,0.59545849,0.40454151,0.25143188,0.07547006,0.00344229,0.05956031,0.02600521,34570,0.09218535,0.54006653,0.42546114,0.11460539,-0.02242004,White,0.0946587,1,MD
MD-27A,27A,43267,-0.01210225,0.37963038,0.59073516,0.80292105,0.19707895,0.10205271,0.03451873,0.0025774,0.03718818,0.01920776,32591,-0.21110478,0.39010845,0.58037432,-0.19026587,-0.02083891,White,-0.20915848,1,MD
MD-27B,27B,45594,0.0410292,0.33732806,0.63697004,0.79476729,0.20523271,0.1266281,0.02790207,0.00179554,0.02225896,0.02627754,35087,-0.29964198,0.3419041,0.63389609,-0.29199199,-0.00764999,White,-0.30209198,1,MD
MD-27C,27C,45615,0.04150868,0.5992269,0.37157547,0.52357003,0.47642997,0.37223311,0.04765152,0.00312562,0.03602989,0.031995,35193,0.22765143,0.58136206,0.39557906,0.185783,0.04186843,White,0.20869529,1,MD
MD-28,28,133887,0.01899574,0.79957832,0.17404611,0.22922148,0.77077852,0.65669495,0.06423483,0.00196084,0.04556249,0.0264763,101487,0.62553221,0.81279634,0.16967974,0.6431166,-0.01758439,Black,0.62639367,3,MD
MD-29A,29A,45327,0.03493289,0.8013944,0.16335819,0.09118921,0.90881079,0.37912624,0.48926109,0.0022271,0.04744036,0.04152175,32778,0.63803621,0.86471794,0.10614027,0.75857767,-0.12054146,Hispanic,0.6732167,1,MD
MD-29B,29B,45281,0.03388259,0.82374457,0.13076278,0.13786168,0.86213832,0.45073701,0.39361549,0.00198259,0.02775623,0.03554291,34803,0.69298179,0.88412409,0.09011791,0.79400618,-0.10102439,Black,0.72165659,1,MD
MD-29C,29C,43540,-0.00586895,0.77596708,0.18962963,0.04031852,0.95968148,0.24367367,0.68843636,0.00198288,0.037895,0.08217928,31772,0.58633745,0.88063923,0.09885448,0.78178475,-0.1954473,Hispanic,0.64648655,1,MD
MD-30,30,133651,0.01719958,0.78735055,0.17354033,0.32111358,0.67888642,0.33286721,0.20565198,0.00175482,0.14044035,0.02069224,109413,0.61381022,0.82422764,0.14839323,0.67583441,-0.06202419,Black,0.62948495,3,MD
MD-31,31,133126,0.01320388,0.79990195,0.16466631,0.21111542,0.78888458,0.55931135,0.1614452,0.00161979,0.0714161,0.02235694,103100,0.63523564,0.83300289,0.14347889,0.689524,-0.05428836,Black,0.64833176,3,MD
