,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,DemPct_2,RepPct_2,Margin_2,Swing
76,6,722098,0.50896788,0.46451733,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291,545058,0.04445055000000003,White,0.51554441,0.45912951,0.056414899999999935,-0.011964349999999901
77,7,721975,0.58528135,0.38626556,0.76498476,0.23501524,0.01893944,0.13813405,0.00242511,0.04913707,0.0300259,576469,0.19901579000000003,White,0.58129397,0.39097501,0.19031896000000004,0.008696829999999989
78,8,721485,0.56727831,0.40365969,0.45801264,0.54198736,0.10478288,0.35679587,0.00483562,0.06033699,0.04062809,540365,0.16361861999999994,Minority,0.61498881,0.35658996,0.25839885000000007,-0.09478023000000013
79,1,720758,0.63235227,0.34989965,0.57123794,0.42876206,0.17695233,0.18065203,0.00159431,0.06892498,0.01495927,573290,0.28245262000000004,White,0.66185336,0.32212411,0.3397292499999999,-0.057276629999999884
80,2,721029,0.53031864,0.45309684,0.80288351,0.19711649,0.05369853,0.08333716,0.0018488,0.04054415,0.01990436,587409,0.07722179999999995,White,0.54856438,0.43308711,0.11547726999999997,-0.038255470000000014
81,3,722095,0.62710397,0.3524847,0.44674673,0.55325327,0.2467041,0.25699658,0.00207717,0.04930417,0.01818714,567599,0.27461926999999997,Minority,0.67172483,0.31649077,0.3552340600000001,-0.0806147900000001
82,4,721776,0.58396993,0.3997794,0.67936607,0.32063393,0.0725625,0.16124643,0.00101071,0.06753214,0.01110536,560000,0.18419052999999996,White,0.62018916,0.36552787,0.25466129000000004,-0.07047076000000008
83,5,720286,0.48267273,0.50172609,0.82741437,0.17258563,0.04397784,0.07231004,0.00094504,0.03716633,0.01357653,580929,-0.01905336000000002,White,0.49912694,0.48479535,0.014331590000000005,-0.033384950000000024
84,1,989948,0.56567569,0.41948412,0.62437671,0.37562329,0.22762886,0.08666531,0.001349,0.04834195,0.01994402,783543,0.14619156999999994,White,0.58782167,0.39801393,0.18980773999999995,-0.04361617000000001
85,1,769572,0.30809179,0.67711506,0.71997717,0.28002283,0.13724982,0.06679952,0.0037943,0.04229988,0.03178636,606172,-0.36902327,White,0.32859008,0.65132379,-0.32273370999999995,-0.04628956000000006
86,2,769905,0.40137641,0.58464102,0.6566918,0.3433082,0.22888774,0.06429594,0.00184164,0.02788605,0.02343771,619557,-0.18326460999999994,White,0.43836435,0.54851494,-0.11015058999999999,-0.07311401999999995
87,3,769472,0.39841706,0.58826581,0.67700502,0.32299498,0.1504742,0.11403674,0.00160254,0.0395721,0.01991573,624632,-0.18984875,White,0.43292339,0.5548485,-0.12192510999999995,-0.06792364000000006
88,4,769907,0.40870311,0.57800777,0.57315615,0.42684385,0.30397758,0.07384991,0.0025862,0.03236118,0.02105205,593149,-0.16930466000000005,White,0.43472312,0.55103781,-0.11631468999999994,-0.05298997000000011
89,5,770166,0.39575129,0.58781237,0.65220967,0.34779033,0.14941885,0.10926961,0.00282295,0.07182632,0.01853131,606811,-0.19206108,White,0.42284212,0.56167452,-0.13883239999999997,-0.05322868000000003
90,6,769289,0.37386275,0.61415062,0.73876773,0.26123227,0.10090148,0.11617183,0.00163633,0.02483952,0.01977932,634956,-0.24028786999999996,White,0.41047611,0.57772635,-0.16725024000000005,-0.07303762999999991
91,7,769926,0.40549529,0.58007438,0.65653529,0.34346471,0.11637348,0.16770836,0.0019607,0.04470204,0.02047825,614066,-0.17457909,White,0.43835172,0.54907271,-0.11072099000000002,-0.06385809999999997
92,8,768714,0.4313263,0.55281953,0.61518149,0.38481851,0.10227215,0.21994578,0.00271725,0.05077526,0.02108186,626368,-0.12149322999999995,White,0.46569253,0.51936669,-0.053674160000000026,-0.06781906999999993
93,9,769122,0.4156818,0.57140933,0.48602227,0.51397773,0.12161052,0.3502241,0.00240111,0.03881939,0.0199689,602637,-0.15572753000000006,Minority,0.46754377,0.52070665,-0.05316288000000002,-0.10256465000000003
94,10,768420,0.6161191,0.36754417,0.33416702,0.66583298,0.27394657,0.32902843,0.00295869,0.05335124,0.0167487,600942,0.24857493000000003,Minority,0.67169936,0.31540342,0.35629594,-0.10772100999999995
95,11,768416,0.41495584,0.57220089,0.63884162,0.36115838,0.11660447,0.17667588,0.00198186,0.04568759,0.0174114,620628,-0.15724504999999994,White,0.44236829,0.54792588,-0.10555758999999998,-0.05168745999999996
