,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority,PopDensity
74,2,721072,0.68276248,0.28857468,0.78657968,0.21342032,0.01619734,0.12369672,0.00248284,0.04608871,0.02348376,586022,0.3941878,0.68417977,0.29011126,0.39406851,0.00011928999999999412,0.3960228568965517,0.3421094483678161,0.05391340852873563,White,224255.24733212084
75,3,721807,0.43879986,0.53611505,0.70164356,0.29835644,0.01487227,0.22727305,0.00257631,0.01433415,0.04850855,568642,-0.09731519,0.44670592,0.52963907,-0.08293315,-0.01438204,-0.09548013310344833,-0.13489221163218393,0.03941207852873559,White,54117.458298490594
76,4,722069,0.35134212,0.62360616,0.72969143,0.27030857,0.02224892,0.19250656,0.00284916,0.02586204,0.03230033,541914,-0.27226404,0.34819613,0.62450832,-0.27631219,0.00404815,-0.2704289831034483,-0.3282712516321839,0.057842268528735606,White,81065.49093104943
77,5,721519,0.45243919,0.51931244,0.69728532,0.30271468,0.07410767,0.15534264,0.00715742,0.04189927,0.03668179,564449,-0.06687325,0.44327923,0.52011458,-0.07683535,0.0099621,-0.06503819310344827,-0.12879441163218389,0.06375621852873561,White,376805.573245521
78,6,722098,0.50896788,0.46451733,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291,545058,0.04445055,0.51554441,0.45912951,0.0564149,-0.01196435,0.04628560689655175,0.004455838367816024,0.04182976852873573,White,2685786.721150016
79,7,721975,0.58528135,0.38626556,0.76498476,0.23501524,0.01893944,0.13813405,0.00242511,0.04913707,0.0300259,576469,0.19901579,0.58129397,0.39097501,0.19031896,0.00869683,0.20085084689655175,0.13835989836781612,0.06249094852873562,White,3163160.765348062
80,8,721485,0.56727831,0.40365969,0.45801264,0.54198736,0.10478288,0.35679587,0.00483562,0.06033699,0.04062809,540365,0.16361862,0.61498881,0.35658996,0.25839885,-0.09478023,0.16545367689655166,0.20643978836781615,-0.0409861114712645,Minority,5770623.042104449
81,1,721936,0.65033476,0.33152906,0.55661611,0.44338389,0.18593845,0.18368157,0.00156985,0.07296846,0.01455523,572028,0.3188057,0.67791735,0.30706862,0.37084873,-0.05204303,0.32064075689655175,0.31888966836781607,0.001751088528735699,White,5481310.83543051
82,2,720885,0.53187777,0.4512168,0.81067488,0.18932512,0.04949698,0.076383,0.00186704,0.04175577,0.02069784,585955,0.08066097,0.54848533,0.43145616,0.11702917,-0.0363682,0.08249602689655178,0.0650701083678161,0.017425918528735672,White,1226246.2503995453
83,3,721393,0.5461204,0.43389265,0.65938219,0.34061781,0.13598764,0.14489446,0.00126995,0.05387163,0.01479149,582700,0.11222775,0.57787132,0.40900164,0.16886968,-0.05664193,0.11406280689655168,0.11691061836781605,-0.0028478114712643735,White,5568846.0384290395
84,4,720277,0.62263268,0.3618458,0.57372595,0.42627405,0.14695464,0.20820406,0.00137467,0.06149264,0.01256121,555042,0.26078688,0.66426496,0.32207117,0.34219379,-0.08140691,0.2626219368965518,0.2902347283678161,-0.02761279147126431,White,6886274.615808514
85,5,721453,0.48380102,0.50124863,0.72834968,0.27165032,0.07502851,0.14101956,0.00139319,0.03312107,0.01508626,573502,-0.01744761,0.50705168,0.47767304,0.02937864,-0.04682625,-0.015612553103448229,-0.0225804216321839,0.006967868528735675,White,1621208.4754630825
86,1,989948,0.56567569,0.41948412,0.62437671,0.37562329,0.22762886,0.08666531,0.001349,0.04834195,0.01994402,783543,0.14619157,0.58782167,0.39801393,0.18980774,-0.04361617,0.14802662689655166,0.13784867836781603,0.010177948528735624,White,1828449.1423320894
87,1,769572,0.30809179,0.67711506,0.71997717,0.28002283,0.13724982,0.06679952,0.0037943,0.04229988,0.03178636,606172,-0.36902327,0.32859008,0.65132379,-0.32273371,-0.04628956,-0.3671882131034483,-0.37469277163218384,0.007504558528735571,White,959395.9830876909
88,2,769202,0.53509469,0.44847141,0.59128576,0.40871424,0.25974393,0.08665734,0.00154682,0.04752581,0.01734111,622567,0.08662328,0.57152581,0.41416282,0.15736299,-0.07073971,0.08845833689655169,0.10540392836781612,-0.016945591471264433,White,572086.4193953049
89,3,769840,0.26722884,0.72189373,0.74156721,0.25843279,0.12872454,0.08437058,0.00188531,0.01921538,0.02553303,621117,-0.45466489,0.29228988,0.69660731,-0.40431743,-0.05034746,-0.45282983310344826,-0.45627649163218387,0.003446658528735623,White,262483.9354996919
90,4,768646,0.32693314,0.65866493,0.76113914,0.23886086,0.08960291,0.07991561,0.0026078,0.04587216,0.02078548,598206,-0.33173179,0.34287399,0.64301304,-0.30013905,-0.03159274,-0.3298967331034483,-0.3520981116321839,0.022201378528735626,White,1613966.1315084943
91,5,768810,0.52995152,0.45366916,0.46992048,0.53007952,0.35172022,0.10693848,0.00285216,0.06069977,0.01899882,599195,0.07628236,0.55715502,0.42667717,0.13047785,-0.05419549,0.07811741689655172,0.07851878836781603,-0.00040137147126432376,Minority,5306795.050118487
92,6,769976,0.34105843,0.64803529,0.73326531,0.26673469,0.093231,0.13217434,0.00172703,0.02070208,0.02165871,628246,-0.30697686,0.37244724,0.61667368,-0.24422644,-0.06275042,-0.3051418031034483,-0.2961855016321839,-0.008956301471264395,White,847990.1460081886
93,7,769731,0.50535465,0.47669995,0.55781113,0.44218887,0.12416929,0.24273349,0.00239083,0.06869712,0.01855934,616940,0.0286547,0.54109759,0.443918,0.09717959,-0.06852489,0.03048975689655175,0.04522052836781613,-0.014730771471264371,White,5564079.61925014
94,8,769594,0.38613895,0.59983857,0.75048471,0.24951529,0.10735284,0.0865999,0.00213085,0.03327521,0.02093235,635428,-0.21369962,0.41299991,0.57310933,-0.16010942,-0.0535902,-0.21186456310344826,-0.21206848163218386,0.0002039185287356013,White,2371120.911058812
95,9,768697,0.51430058,0.47032556,0.30199106,0.69800894,0.12761085,0.52325717,0.00313462,0.05461774,0.0191168,592097,0.04397502,0.58948002,0.39814669,0.19133333,-0.14735831,0.04581007689655175,0.13937426836781605,-0.0935641914712643,Hispanic,1740184.9382179806
96,10,768586,0.56226556,0.42135748,0.4029962,0.5970038,0.28605084,0.23018455,0.0026514,0.05961325,0.01690036,588745,0.14090808,0.60731289,0.38022267,0.22709022,-0.08618214,0.14274313689655177,0.1751311583678161,-0.03238802147126433,Minority,7167593.341627036
97,11,769849,0.33138184,0.65855489,0.77008432,0.22991568,0.07858793,0.10858445,0.00151178,0.02242064,0.01892657,648242,-0.32717305,0.35338069,0.63756683,-0.28418614,-0.04298691,-0.3253379931034483,-0.3361452016321839,0.010807208528735644,White,1304696.0410538826
98,12,769906,0.37014615,0.61681563,0.76955128,0.23044872,0.05474199,0.12512502,0.00166316,0.03085069,0.01967191,625918,-0.24666948,0.39458844,0.59293644,-0.198348,-0.04832148,-0.24483442310344822,-0.2503070616321839,0.005472638528735717,White,3616007.894105568
